"","FARM","CROP","SFALP","TSPP","NPP","TWWP","URP","AVFS","AVCRS","CTPHA","FERTIN","PESTIN","AMPF","SWDIFR","SWDICR","xcoord","ycoord"
"AMCR",245.153072433605,222.44437969978,NA,74.4948504557636,NA,74.4948504557636,39.9177972625051,NA,197.985175385198,111.742275683645,264.163364947764,NA,490.477132485576,112.74155820546,NA,NA,NA
"AMGO",184.777562422241,182.086400586657,NA,62.1853733416013,NA,62.1853733416013,27.9973891186466,22.3979112949173,216.161563456929,93.2780600124018,169.457883636924,95.1911230033984,325.295280118944,143.934502201299,NA,NA,NA
"AMKE",12.0360253382212,12.4914141345293,NA,NA,NA,NA,NA,3.20499934997426,26.2355093428592,NA,21.6683011639617,9.286414784555,10.5978172959179,12.1455530933438,NA,NA,NA
"AMRO",62.1814269951493,NA,34.993901462891,165.72745209644,108.481042457158,223.81994319402,191.699228157243,9.01137721077682,9.01137721077682,44.0052786736678,NA,NA,NA,74.5639004598043,200.151206951584,NA,NA
"BAOR",62.9147511596074,70.8662716341886,NA,NA,53.3887803293312,NA,4.19501966695372,NA,NA,NA,73.9253598047735,60.9915944853912,50.3402360034443,89.7385882131312,NA,NA,NA
"BARS",48.812798807364,NA,18.2640697468885,197.380696147868,103.918175239593,168.626032243621,44.3752716430582,NA,NA,18.2640697468885,30.5086389346129,31.7798322235551,22.8814792009597,77.2930122537577,97.4083719834052,NA,NA
"BHCO",36.6374895456631,NA,39.9430795474918,63.2829364879636,43.2988512812382,132.438480291114,135.494850864242,105.730306183917,79.1015864855889,39.1585069380971,NA,NA,26.6287196983279,23.3147660745129,5.87260731518722,NA,NA
"BLJA",102.693052695739,101.097439168555,NA,32.2947951809877,NA,32.2947951809877,7.47632538516087,11.2144880777413,126.098662034992,48.4421927714815,112.96759172912,29.9053015406436,176.856324220818,80.3728053848674,NA,NA,NA
"BOBO",16.298912662911,99.9217465656164,NA,341.830266677342,97.6657904792405,NA,10.865941775274,48.8328952396202,246.886461998463,NA,218.948666771104,186.721595269583,187.558704297191,213.144942059167,NA,NA,NA
"BRTH",90.9701140534153,107.212489428791,NA,33.8810948279527,17.8358246058848,NA,NA,15.287849662187,105.519779194178,NA,164.471596868015,73.8813134769108,58.6220995523209,128.747608861524,NA,NA,NA
"BLTE",NA,NA,NA,NA,5.2213011943449,NA,NA,1.04426023886898,10.7112615688985,1.62440481601841,2.32057830859773,2.78469397031728,NA,2.66866505488739,NA,NA,NA
"CAGO",43.3396958822393,57.786261176319,31.7122887778206,NA,98.3534059703499,54.6407810946388,3.28058159770559,59.0148898915796,77.51745808772,11.5572522352638,2.18705439847038,80.8712023294351,NA,82.2757196501262,NA,NA,NA
"CCSP",NA,NA,NA,3.63310264329598,3.63310264329598,9.20386002968316,2.05875816453439,2.17986158597759,31.5104726575549,NA,NA,NA,NA,2.17986158597759,NA,NA,NA
"CEDW",50.1519439426803,26.6605948275706,NA,40.5759666533713,27.7625034996751,81.1519333067426,21.355771922827,NA,19.0432820196933,NA,87.9632918071913,65.7903715970924,32.5556766917797,33.9923223656722,NA,NA,NA
"CHSP",44.3395321230712,NA,40.7596021706579,103.759532689986,52.4012652363569,160.609728032474,144.423849887076,116.129071335134,82.1627361929192,41.4031340222612,NA,NA,27.1730681137719,28.2160658964999,7.43679888004632,NA,NA
"CLSW",11.886598359799,14.9211377462373,NA,NA,NA,NA,NA,NA,10.7164834495943,16.933611233868,11.9412244152622,11.0226686910112,NA,18.9834849678527,NA,NA,NA
"COGR",62.0861105393319,NA,43.4448528717432,136.202880724857,73.3744942737558,224.610450541737,208.409312487345,125.984100578997,89.7800565192109,46.3352036474676,NA,NA,28.9632352478288,39.5093430704839,15.1967393815225,NA,NA
"CONI",0.525222709960837,2.6261135498042,1.00887105141243,NA,1.00887105141243,4.03548420564972,9.07983946271188,4.20178167968673,14.7062358789036,NA,2.01774210282486,NA,1.57566812988252,3.59341023270738,NA,NA,NA
"COYE",150.68695839809,161.563931900162,NA,32.5781707170765,NA,NA,NA,NA,187.626806558368,NA,263.689065175012,82.8129823080447,131.152590099381,188.981125486947,NA,NA,NA
"EABL",53.0000525768637,52.138667282169,NA,NA,18.105662490682,20.8749179729141,NA,NA,59.4355853339334,NA,90.3937109256712,24.8952859246878,30.148485314314,61.2929574510617,NA,NA,NA
"EAKI",NA,NA,NA,NA,NA,NA,45.7381484601674,3.58730576158177,86.4739710005206,4.4841322019772,4.4841322019772,4.4841322019772,NA,NA,NA,NA,NA
"EAME",24.1054420873149,24.7800944064623,72.4395547382139,253.538441583749,97.4484280423672,NA,NA,308.730318540547,90.7957708983902,NA,83.3512266399184,117.494271840873,108.659332107321,39.8745930732454,NA,NA,NA
"EAPH",10.7395413659611,17.5324014537475,NA,38.2908577329681,15.5356463932246,NA,NA,2.9454505948437,51.7450629450852,4.62011570935359,31.6350401494234,16.6327970440653,16.5974730201217,34.0278850215687,NA,NA,NA
"EATO",33.2732200458545,23.6510326848375,NA,6.64443811709728,9.96665717564592,11.0740635284955,38.2584228417175,3.1430607227052,56.5486183981448,NA,36.1547896482911,14.1437732521734,27.4657153759404,42.5882590016914,NA,NA,NA
"EAWP",11.1317155746412,44.6531814381565,6.54532112347344,NA,NA,NA,NA,17.0178349210309,48.0711901824418,NA,57.6342762655338,39.594960375081,29.1803333971326,70.4733929106128,NA,NA,NA
"EUST",134.508801326508,69.4458627715715,NA,283.48768083548,134.805445489712,224.762878644327,59.1481259590336,NA,49.6041876939797,NA,122.702714406923,194.780980894084,47.3832668806107,148.920757608272,NA,NA,NA
"FISP",44.5246136818622,36.3842172039902,11.3362996469365,17.0044494704048,14.6298829477171,28.3407491173413,76.5200226168216,NA,47.8012814737262,NA,50.7219452289465,21.6522267626213,39.7985944521135,63.3378725512298,NA,NA,NA
"GCFL",45.3151945099484,52.2612805459379,NA,7.8036031223854,NA,15.6072062447708,39.018015611927,8.77254130335069,104.276336253552,NA,90.0017308802701,29.2418043445023,46.2596506790038,71.6083364080906,NA,NA,NA
"GRPA",6.44914769196568,3.68522725255181,NA,1.8426136262759,NA,NA,3.68522725255181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRSP",11.627107398841,8.41962949571247,NA,NA,3.95820224542427,6.41495580625712,79.542211083342,NA,NA,14.2594710106965,5.65457463632039,10.7022035031633,NA,3.95820224542427,3.39274478179223,NA,NA
"HOFI",19.6541153219424,7.67258833682077,NA,25.2321033407391,19.6249692650193,54.0350325530202,32.1957249577241,NA,NA,1.53451766736415,NA,2.30177650104623,NA,14.0178351892995,NA,NA,NA
"HOLA",51.7470486250127,22.4048669446778,NA,44.0132725205023,NA,102.697635881172,40.5446151526738,NA,NA,NA,33.6073004170165,11.2024334723389,134.429201668066,NA,NA,NA,NA
"HOSP",98.7829837111978,58.8759860707794,NA,81.2107344931488,55.5652393900491,162.421468986297,42.7424918384994,NA,31.8974995049413,NA,59.6062295517221,146.921189150225,14.2194867638617,90.2562173196142,NA,NA,NA
"HOWR",40.030130843771,51.4730525252192,NA,11.6654308801781,NA,11.6654308801781,NA,10.5040889929689,71.5282137441251,17.4981463202671,86.7493189260576,38.5149929742193,89.3086331207081,55.4910197034119,NA,NA,NA
"INBU",24.5700071069457,9.15504103594592,NA,21.8378686005831,20.5532880946664,61.6598642839992,12.8458050591665,11.5612245532499,NA,NA,82.3953693235126,NA,54.930246215675,NA,NA,NA,NA
"KILL",142.149218246322,98.3980979556417,92.6147876813975,61.9667795123338,NA,30.9833897561669,98.3980979556417,NA,5.44792868714107,NA,NA,NA,NA,8.17189303071156,NA,NA,NA
"MALL",19.7145505345233,24.0988666098721,NA,26.4001014153483,15.0187599863869,5.4353149972776,NA,NA,10.2986812357057,5.91436516035701,14.5692858764238,35.1666483478353,NA,21.8233101524142,NA,NA,NA
"MODO",109.009430529749,136.444485786126,NA,NA,NA,NA,NA,NA,99.7303263470936,142.29080975222,111.128077929619,102.579764242725,NA,176.665149529137,NA,NA,NA
"NOFL",15.490988803142,17.0400876834562,NA,NA,NA,NA,NA,NA,46.4729664094259,NA,19.3637360039275,NA,23.236483204713,23.236483204713,81.9057135126116,NA,NA
"NOHA",8.54371482312426,13.9571360786086,NA,39.1762380406178,24.3198462360914,28.6482817774399,6.99031212801076,NA,45.3606922554779,NA,18.1585399970451,18.1585399970451,NA,25.9132765652479,NA,NA,NA
"NOMO",NA,NA,5.73366517969452,4.30024888477089,5.0169570322327,5.73366517969452,NA,25.8014933086253,6.45037332715633,NA,NA,NA,62.2443937095257,NA,NA,NA,NA
"OROR",11.3548426531055,12.2755055709248,NA,2.87712023916875,3.83616031889167,4.31568035875313,1.91808015944584,14.8651212357052,3.35664027903022,22.0959100276647,9.20662917819363,8.59285389964739,NA,9.82040445673987,NA,NA,NA
"RBGU",14.87385384143,14.87385384143,4.55080639086071,13.07435481397,35.2765546268554,84.983306290805,50.0588702994679,NA,6.37450878918427,NA,16.996661258161,24.1623386118157,57.3705791026585,30.2357135362621,4.55080639086071,NA,NA
"RHWO",2.17108449812688,1.7368675985015,NA,1.7368675985015,5.33842073557189,1.7368675985015,NA,8.68433799250751,9.64474081764063,3.05876321133176,4.23521060030551,4.94107903368976,3.05876321133176,NA,17.6467108346063,NA,NA
"RNEP",13.7158774911953,8.11653879878943,NA,26.9907132906936,9.61494170532099,22.3407114607888,5.09030790218712,1.33224063665678,5.79752771342102,NA,6.95703325610523,17.0719330098798,1.99836095498517,9.360743244952,NA,NA,NA
"ROPI",58.8499983391104,33.2292042724531,71.1514917415197,53.9045928093979,41.2211592071866,104.638327218243,25.3668672044225,19.5317820466917,33.7364850551264,39.5704243292646,15.3464001795435,NA,16.4876768038602,15.8542920027641,16.4876768038602,NA,NA
"RTHA",23.3790300995473,28.5613918154907,NA,34.6214481517149,30.0677296571674,NA,9.03168212653431,NA,NA,25.2924287859952,15.7982986334269,16.3079211699891,NA,18.965750728071,6.02112141768954,15.2886760968648,NA
"RWBL",171.237986821494,168.495906040574,NA,76.2647686233421,NA,NA,45.1820878372281,36.1456702697825,225.34924415325,NA,420.432288642258,264.341874378477,95.9728273321936,247.332077874773,NA,NA,NA
"SAVS",82.136077385664,109.514769847552,NA,NA,NA,NA,NA,NA,16.4272154771327,21.9029539695104,NA,NA,NA,10.9514769847552,218.772389871388,NA,NA
"SOSP",180.470714019686,224.907704958558,NA,64.6664407844273,NA,NA,NA,30.1812902730073,256.248725056254,NA,520.493500112428,198.321272126401,114.772697659187,283.629989552316,NA,NA,NA
"TRES",17.3781099051129,30.5504089516339,NA,103.941817895604,31.9820978140321,NA,NA,18.275003984137,94.0103727098093,NA,106.201216795795,54.825011952411,26.8570789442654,74.5622677124316,NA,NA,NA
"TUVU",12.6060618368979,19.0696023018255,NA,53.3445641271309,45.3795023467978,20.2897641383929,3.87812427895654,7.23700817007548,4.20202061229933,29.4141442860952,NA,2.42799004622093,4.24898258088661,12.9270809298551,NA,NA,NA
"UPSA",57.1875989204322,47.4093101857717,NA,NA,NA,NA,NA,25.1836283445454,90.6610620403634,19.5565774693212,NA,NA,NA,3.25942957822021,NA,NA,NA
"VESP",60.1323994521597,87.0863852590617,NA,NA,NA,NA,NA,136.510327032532,116.605510521623,18.0432456528635,45.7560966946432,14.7019038652962,36.0979730747033,53.4729503700534,NA,NA,NA
"WITU",NA,NA,NA,NA,NA,17.6116862171377,NA,2.98587035092466,1.49293517546233,NA,NA,2.98587035092466,NA,NA,16.4222869300857,NA,NA
